Date,KOSPI,,
2020-01-02,2175.17,,
2020-01-03,2176.46,,
2020-01-06,2155.07,,
2020-01-07,2175.54,,
2020-01-08,2151.31,,
2020-01-09,2186.45,,
2020-01-10,2206.39,,
2020-01-13,2229.26,,
2020-01-14,2238.88,,
2020-01-15,2230.98,,
2020-01-16,2248.05,,
2020-01-17,2250.57,,
2020-01-20,2262.64,,
2020-01-21,2239.69,,
2020-01-22,2267.25,,
2020-01-23,2246.13,,
2020-01-28,2176.72,,
2020-01-29,2185.28,,
2020-01-30,2148,,
2020-01-31,2119.01,,
2020-02-03,2118.88,,
2020-02-04,2157.9,,
2020-02-05,2165.63,,
2020-02-06,2227.94,,
2020-02-07,2211.95,,
2020-02-10,2201.07,,
2020-02-11,2223.12,,
2020-02-12,2238.38,,
2020-02-13,2232.96,,
2020-02-14,2243.59,,
2020-02-17,2242.17,,
2020-02-18,2208.88,,
2020-02-19,2210.34,,
2020-02-20,2195.5,,
2020-02-21,2162.84,,
2020-02-24,2079.04,,
2020-02-25,2103.61,,
2020-02-26,2076.77,,
2020-02-27,2054.89,,
2020-02-28,1987.01,,
2020-03-02,2002.51,,
2020-03-03,2014.15,,
2020-03-04,2059.33,,
2020-03-05,2085.26,,
2020-03-06,2040.22,,
2020-03-09,1954.77,,
2020-03-10,1962.93,,
2020-03-11,1908.27,,
2020-03-12,1834.33,,
2020-03-13,1771.44,,
2020-03-16,1714.86,,
2020-03-17,1672.44,,
2020-03-18,1591.2,,
2020-03-19,1457.64,,
2020-03-20,1566.15,,
2020-03-23,1482.46,,
2020-03-24,1609.97,,
2020-03-25,1704.76,,
2020-03-26,1686.24,,
2020-03-27,1717.73,,
2020-03-30,1717.12,,
2020-03-31,1754.64,,
2020-04-01,1685.46,,
2020-04-02,1724.86,,
2020-04-03,1725.44,,
2020-04-06,1791.88,,
2020-04-07,1823.6,,
2020-04-08,1807.14,,
2020-04-09,1836.21,,
2020-04-10,1860.7,,
2020-04-13,1825.76,,
2020-04-14,1857.08,,
2020-04-16,1857.07,,
2020-04-17,1914.53,,
2020-04-20,1898.36,,
2020-04-21,1879.38,,
2020-04-22,1896.15,,
2020-04-23,1914.73,,
2020-04-24,1889.01,,
2020-04-27,1922.77,,
2020-04-28,1934.09,,
2020-04-29,1947.56,,
2020-05-04,1895.37,,
2020-05-06,1928.76,,
2020-05-07,1928.61,,
2020-05-08,1945.82,,
2020-05-11,1935.4,,
2020-05-12,1922.17,,
2020-05-13,1940.42,,
2020-05-14,1924.96,,
2020-05-15,1927.28,,
2020-05-18,1937.11,,
2020-05-19,1980.61,,
2020-05-20,1989.64,,
2020-05-21,1998.31,,
2020-05-22,1970.13,,
2020-05-25,1994.6,,
2020-05-26,2029.78,,
2020-05-27,2031.2,,
2020-05-28,2028.54,,
2020-05-29,2029.6,,
2020-06-01,2065.08,,
