Date,KOSPI
12/9/2020,2755.47
12/10/2020,2746.46
12/11/2020,2770.06
12/14/2020,2762.2
12/15/2020,2756.82
12/16/2020,2771.79
12/17/2020,2770.43
12/18/2020,2772.18
12/21/2020,2778.65
12/22/2020,2733.68
12/23/2020,2759.82
12/24/2020,2806.86
12/28/2020,2808.6
12/29/2020,2820.51
12/30/2020,2873.47
1/4/2021,2944.45
1/5/2021,2990.57
1/6/2021,2968.21
1/7/2021,3031.68
1/8/2021,3152.18
1/11/2021,3148.45
1/12/2021,3125.95
1/13/2021,3148.29
1/14/2021,3149.93
1/15/2021,3085.9
1/18/2021,3013.93
1/19/2021,3092.66
1/20/2021,3114.55
1/21/2021,3160.84
1/22/2021,3140.63
1/25/2021,3208.99
1/26/2021,3140.31
1/27/2021,3122.56
1/28/2021,3069.05
1/29/2021,2976.21
2/1/2021,3056.53
2/2/2021,3096.81
2/3/2021,3129.68
2/4/2021,3087.55
2/5/2021,3120.63
2/8/2021,3091.24
2/9/2021,3084.67
2/10/2021,3100.58
2/15/2021,3147
2/16/2021,3163.25
2/17/2021,3133.73
2/18/2021,3086.66
2/19/2021,3107.62
2/22/2021,3079.75
2/23/2021,3070.09
2/24/2021,2994.98
2/25/2021,3099.69
2/26/2021,3012.95
3/2/2021,3043.87
3/3/2021,3082.99
3/4/2021,3043.49
3/5/2021,3026.26
3/8/2021,2996.11
3/9/2021,2976.12
3/10/2021,2958.12
3/11/2021,3013.7
3/12/2021,3054.39
3/15/2021,3045.71
3/16/2021,3067.17
3/17/2021,3047.5
3/18/2021,3066.01
3/19/2021,3039.53
3/22/2021,3035.46
3/23/2021,3004.74
3/24/2021,2996.35
3/25/2021,3008.33
3/26/2021,3041.01
3/29/2021,3036.04
3/30/2021,3070
3/31/2021,3061.42
4/1/2021,3087.4
4/2/2021,3112.8
4/5/2021,3120.83
4/6/2021,3127.08
4/7/2021,3137.41
4/8/2021,3143.26
4/9/2021,3131.88
4/12/2021,3135.59
4/13/2021,3169.08
4/14/2021,3182.38
4/15/2021,3194.33
4/16/2021,3198.62
4/19/2021,3198.84
4/20/2021,3220.7
4/21/2021,3171.66
4/22/2021,3177.52
4/23/2021,3186.1
4/26/2021,3217.53
4/27/2021,3215.42
4/28/2021,3181.47
4/29/2021,3174.07
4/30/2021,3147.86
5/3/2021,3127.2
5/4/2021,3147.37
5/6/2021,3178.74
5/7/2021,3197.2
5/10/2021,3249.3
5/11/2021,3209.43
5/12/2021,3161.66
5/13/2021,3122.11
5/14/2021,3153.32
5/17/2021,3134.52
5/18/2021,3173.05
5/20/2021,3162.28
5/21/2021,3156.42
5/24/2021,3144.3
5/25/2021,3171.32
5/26/2021,3168.43
5/27/2021,3165.51
5/28/2021,3188.73
5/31/2021,3203.92
6/1/2021,3221.87
6/2/2021,3224.23
6/3/2021,3247.43
6/4/2021,3240.08
6/7/2021,3252.12
6/8/2021,3247.83
6/9/2021,3216.18
6/10/2021,3224.64
6/11/2021,3249.32
6/14/2021,3252.13
6/15/2021,3258.63
6/16/2021,3278.68
6/17/2021,3264.96
6/18/2021,3267.93
6/21/2021,3240.79
6/22/2021,3263.88
6/23/2021,3276.19
6/24/2021,3286.1
6/25/2021,3302.84
6/28/2021,3301.89
6/29/2021,3286.68
6/30/2021,3296.68
7/1/2021,3282.06
7/2/2021,3281.78
7/5/2021,3293.21
7/6/2021,3305.21
7/7/2021,3285.34
7/8/2021,3252.68
7/9/2021,3217.95
7/12/2021,3246.47
7/13/2021,3271.38
7/14/2021,3264.81
7/15/2021,3286.22
7/16/2021,3276.91
7/19/2021,3244.04
7/20/2021,3232.7
7/21/2021,3215.91
7/22/2021,3250.21
7/23/2021,3254.42
7/26/2021,3224.95
7/27/2021,3232.53
7/28/2021,3236.86
7/29/2021,3242.65
7/30/2021,3202.32
8/2/2021,3223.04
8/3/2021,3237.14
8/4/2021,3280.38
8/5/2021,3276.13
8/6/2021,3270.36
8/9/2021,3260.42
8/10/2021,3243.19
8/11/2021,3220.62
8/12/2021,3208.38
8/13/2021,3171.29
8/17/2021,3143.09
8/18/2021,3158.93
8/19/2021,3097.83
8/20/2021,3060.51
8/23/2021,3090.21
8/24/2021,3138.3
8/25/2021,3146.81
8/26/2021,3128.53
8/27/2021,3133.9
8/30/2021,3144.19
8/31/2021,3199.27
9/1/2021,3207.02
9/2/2021,3175.85
9/3/2021,3201.06
9/6/2021,3203.33
9/7/2021,3187.42
9/8/2021,3162.99
9/9/2021,3114.7
9/10/2021,3125.76
9/13/2021,3127.86
9/14/2021,3148.83
9/15/2021,3153.4
9/16/2021,3130.09
9/17/2021,3140.51
9/23/2021,3127.58
9/24/2021,3125.24
9/27/2021,3133.64
9/28/2021,3097.92
9/29/2021,3060.27
9/30/2021,3068.82
10/1/2021,3019.18
10/5/2021,2962.17
10/6/2021,2908.31
10/7/2021,2959.46
10/8/2021,2956.3
10/12/2021,2916.38
10/13/2021,2944.41
10/14/2021,2988.64
10/15/2021,3015.06
10/18/2021,3006.68
10/19/2021,3029.04
10/20/2021,3013.13
10/21/2021,3007.33
10/22/2021,3006.16
10/25/2021,3020.54
10/26/2021,3049.08
10/27/2021,3025.49
10/28/2021,3009.55
10/29/2021,2970.68
11/1/2021,2978.94
11/2/2021,3013.49
11/3/2021,2975.71
11/4/2021,2983.22
11/5/2021,2969.27
11/8/2021,2960.2
11/9/2021,2962.46
11/10/2021,2930.17
11/11/2021,2924.92
11/12/2021,2968.8
11/15/2021,2999.52
11/16/2021,2997.21
11/17/2021,2962.42
11/18/2021,2947.38
11/19/2021,2971.02
11/22/2021,3013.25
11/23/2021,2997.33
11/24/2021,2994.29
11/25/2021,2980.27
11/26/2021,2936.44
11/29/2021,2909.32
11/30/2021,2839.01
12/1/2021,2899.72
12/2/2021,2945.27
12/3/2021,2968.33
12/6/2021,2973.25
12/7/2021,2991.72
12/8/2021,3001.8
12/9/2021,3029.57
12/10/2021,3010.23
12/13/2021,3001.66
12/14/2021,2987.95
12/15/2021,2989.39
12/16/2021,3006.41
12/17/2021,3017.73
12/20/2021,2963
12/21/2021,2975.03
12/22/2021,2984.48
12/23/2021,2998.17
12/24/2021,3012.43
12/27/2021,2999.55
12/28/2021,3020.24
12/29/2021,2993.29
12/30/2021,2977.65
1/3/2022,2988.77
1/4/2022,2989.24
1/5/2022,2953.97
1/6/2022,2920.53
1/7/2022,2954.89
1/10/2022,2926.72
1/11/2022,2927.38
1/12/2022,2972.48
1/13/2022,2962.09
1/14/2022,2921.92
1/17/2022,2890.1
1/18/2022,2864.24
1/19/2022,2842.28
1/20/2022,2862.68
1/21/2022,2834.29
1/24/2022,2792
1/25/2022,2720.39
1/26/2022,2709.24
1/27/2022,2614.49
1/28/2022,2663.34
2/3/2022,2707.82
2/4/2022,2750.26
2/7/2022,2745.06
2/8/2022,2746.47
2/9/2022,2768.85
2/10/2022,2771.93
2/11/2022,2747.71
2/14/2022,2704.48
2/15/2022,2676.54
2/16/2022,2729.68
2/17/2022,2744.09
2/18/2022,2744.52
2/21/2022,2743.8
2/22/2022,2706.79
2/23/2022,2719.53
2/24/2022,2648.8
2/25/2022,2676.76
2/28/2022,2699.18
3/2/2022,2703.52
3/3/2022,2747.08
3/4/2022,2713.43
3/7/2022,2651.31
3/8/2022,2622.4
3/10/2022,2680.32
3/11/2022,2661.28
